"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-02",99.53671,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-03",99.44816,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-04",99.50635,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-05",99.65069,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-06",99.81578,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-07",99.94292,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-08",99.9904,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-09",100.0331,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-10",100.1426,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-11",100.3102,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-12",100.4744,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-01",100.6201,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-02",100.5996,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-03",100.5317,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-04",100.4525,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-05",100.3724,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-06",100.3546,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-07",100.3927,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-08",100.4114,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-09",100.4401,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-10",100.5127,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-11",100.6159,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2004-12",100.7245,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-01",100.7995,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-02",100.7901,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-03",100.6771,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-04",100.5521,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-05",100.5073,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-06",100.5482,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-07",100.5005,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-08",100.2867,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-09",100.0236,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-10",99.95876,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-11",100.1343,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2005-12",100.4171,
